"Region","Year","Gender","Nationality","Population estimates"
"Makkah",2022,"Male","Saudi",2073878
"Makkah",2022,"Female","Non-Saudi",1062692
"Makkah",2022,"Female","Saudi",2079845
"Makkah",2022,"Male","Non-Saudi",2805048
"Makkah",2021,"Male","Saudi",2027109
"Makkah",2021,"Female","Non-Saudi",1049612
"Makkah",2021,"Male","Non-Saudi",2583425
"Makkah",2021,"Female","Saudi",2032042
"Makkah",2020,"Male","Saudi",1981969
"Makkah",2020,"Male","Non-Saudi",2862658
"Makkah",2020,"Female","Non-Saudi",1153302
"Makkah",2020,"Female","Saudi",1984600
"Makkah",2019,"Female","Non-Saudi",1053771
"Makkah",2019,"Male","Non-Saudi",2694938
"Makkah",2019,"Female","Saudi",1931101
"Makkah",2019,"Male","Saudi",1927746
"Makkah",2018,"Male","Saudi",1879826
"Makkah",2018,"Female","Non-Saudi",1103527
"Makkah",2018,"Female","Saudi",1882931
"Makkah",2018,"Male","Non-Saudi",2849054
"Makkah",2017,"Male","Saudi",1835981
"Makkah",2017,"Female","Saudi",1838533
"Makkah",2017,"Male","Non-Saudi",3149081
"Makkah",2017,"Female","Non-Saudi",1196162
"Makkah",2016,"Female","Non-Saudi",1199669
"Makkah",2016,"Male","Saudi",1798985
"Makkah",2016,"Male","Non-Saudi",3279865
"Makkah",2016,"Female","Saudi",1798091
"Makkah",2015,"Female","Non-Saudi",1185309
"Makkah",2015,"Male","Non-Saudi",3113295
"Makkah",2015,"Male","Saudi",1756374
"Makkah",2015,"Female","Saudi",1753158
"Makkah",2014,"Female","Saudi",1703946
"Makkah",2014,"Male","Saudi",1707937
"Makkah",2014,"Male","Non-Saudi",2852658
"Makkah",2014,"Female","Non-Saudi",1163579
"Makkah",2013,"Male","Saudi",1656215
"Makkah",2013,"Female","Non-Saudi",1155014
"Makkah",2013,"Male","Non-Saudi",2827707
"Makkah",2013,"Female","Saudi",1653242
"Makkah",2012,"Female","Non-Saudi",1107492
"Makkah",2012,"Male","Non-Saudi",2582311
"Makkah",2012,"Male","Saudi",1611601
"Makkah",2012,"Female","Saudi",1608752
"Makkah",2011,"Female","Saudi",1570069
"Makkah",2011,"Female","Non-Saudi",1094964
"Makkah",2011,"Male","Non-Saudi",2401646
"Makkah",2011,"Male","Saudi",1573573
"Makkah",2010,"Male","Saudi",1541652
"Makkah",2010,"Female","Non-Saudi",1076909
"Makkah",2010,"Female","Saudi",1535534
"Makkah",2010,"Male","Non-Saudi",2196122
